lineage,ksize,osf_hash,description
archaea,51,kzas9,genbank-2022.03-archaea-k51-scaled10k-cover
bacteria,51,s5mnw,genbank-2022.03-bacteria-k51-scaled10k-cover
protozoa,51,g3xvp,genbank-2023.03-protozoa-k51-scaled10k-cover-masked
fungi,51,n86f9,genbank-2023.03-fungi-k51-scaled10k-cover-masked
vertebrate_mammalian,51,kmn8s,genbank-2023.03-vertebrate_mammalian-k51-scaled10k-cover-masked
vertebrate_other,51,832sp,genbank-2023.03-vertebrate_other-k51-scaled10k-cover-masked
plant,51,vdpm4,genbank-2023.03-plant-k51-scaled10k-cover-masked
